,store_name,street_address,state_name,country_name,postcode,longitude,latitude,id
9326,Torre Inverlat,Manuel Avila Camacho 1,DIF,MX,1100,-99.2,19.43,142
9327,Parque Lindavista 1,"Colectores 13 No. 280, Col. Magdalena de las Salinas",DIF,MX,6600,-99.13,19.49,143
9328,Tepepan,"Periferico Sur No. 4991 local 1, Col. Tepepan",DIF,MX,14610,-99.14,19.28,144
9329,Izcalli Mega,"Manzana C, # 24 B Av. 1 de Mayo, Col. Ce",DIF,MX,54740,-99.21,19.65,145
9330,222 Reforma 2,"222 Avenue Reforma, Col. Juarez. C.P.",DIF,MX,6600,-99.16,19.43,146
9331,City Walk,"Av. Santa Fe  482;  Col. Cruz Manca;, Del. Cuajimpala",DIF,MX,5300,-99.27,19.36,147
9332,Punta Norte,Autopista Chamapa-Lecheria S/N,DIF,MX,,-99.2,19.6,148
9333,Echegaray,Hacienda de Echegaray,DIF,MX,53120,-99.23,19.49,149
9334,El Rosario,"Av. Del Rosario No. 1025, Col El Rosario",DIF,MX,2430,-99.2,19.5,150
9335,Miguel Angel Quevedo 3,Av. Miguel Angel de Quevedo #287,DIF,MX,,-99.18,19.35,151
9336,Plaza Lilas,"Bosque de Lilas #92, Local,Centro Comerc",DIF,MX,,-99.25,19.39,152
9337,Insurgentes WTC -,"Montecito 38, Colonia Napoles District",DIF,MX,3810,-99.17,19.39,153
9338,Chapultepec Reforma,"Seccion 1RA,  Bosque de Chapultepec, Acceso Gratuitas",DIF,MX,11850,-99.18,19.42,154
9339,Super Plaza - Miramontes,"Av. Canal de Miramontes No. 2091, Col. Los Girasoles",DIF,MX,4920,-99.12,19.31,155
9340,Medica Sur II,"Puente de Piedra No. 150, Col. Torielo Guerra",DIF,MX,14050,-99.16,19.3,156
9341,Insurgentes Relox,"Av. Insurgentes Sur #2374., Col. Chimalistac",DIF,MX,4340,-99.19,19.34,157
9342,Americas Ecatepec,"Av. Central esq. Av. 1 de Mayo, Col. Jardines de Morelos, Ecatepec",DIF,MX,55070,-103.38,20.7,158
9343,C.C. Perisur,"Anillo Periferico No. 4690 Local 192, Ampliacion Pedregal de San Angel",DIF,MX,4500,-99.19,19.3,159
9344,Xola,Xola No.1159 Col. Narvarte,DIF,MX,3020,-99.16,19.4,160
9345,One o One,"Juan Salvador Agraz 61, Col. Santa Fe, Cuajimalpa",DIF,MX,5300,-99.28,19.36,161
9346,C.M Mixcoac,"Revolucion 780, Col. Mixcoac",DIF,MX,3730,-99.19,19.38,162
9347,Gabriel Mancera,"Av. Gabriel Mancera #1,357, Local 1",DIF,MX,53290,-99.17,19.37,163
9348,Metropoli Patriotismo,Av. Patriotismo #229,DIF,MX,,-99.18,19.4,164
9349,Santa Fe IMAX,Lateral Autopista Mexico-Toluca #1235,DIF,MX,54054,-99.28,19.36,165
9350,Samara I,"Ave Santa Fe No 94 Col Zedec Santa Fe, Office Tower",DIF,MX,11560,-99.26,19.37,166
9351,Jardines del Pedregal,"Av. San Jeronimo No. 240, Col. Jardines del Pedregal",DIF,MX,1900,-99.2,19.34,167
9352,Universidad Anahuac,"Av. Lomas Anahuac, s/n., Lomas Anahuac,  Huixquilucan",DIF,MX,52786,-99.27,19.4,168
9353,SPA,"Calzada Taxquena No. 1475, Colonia Campestre Churubusco",DIF,MX,4200,-99.13,19.34,169
9354,HSBC Corporate,"Av Paseo de la Reforma 347 esq Rio Tiber, Colonia Juarez, Delegacion Cuauhtemoc",DIF,MX,6600,-99.17,19.43,170
9355,Felix Cuevas,"Felix Cuevas #6, esq Insurgentes Sur",DIF,MX,3200,-99.18,19.37,171
9356,Alameda,"Av. Juarez No. 76, Col. Centro",DIF,MX,6050,-99.15,19.44,172
9357,Coapa Chedraui,"Calzada del Hueso # 670, Local 32-35, Col. Los Robles",DIF,MX,4780,-99.12,19.3,173
9358,MEX - Mexico City Airport T2 Lleg,"Capitan Carlos Leon s/n Colonia Penon, de los Banos",DIF,MX,15620,-99.08,19.42,174
9359,Prado Norte,"Prado Norte #324 Local 2 manzana 16, lote 15 Col. Lomas de Chapultepec",DIF,MX,11000,-99.21,19.43,175
9360,Bolsa Mexicana de Valores,"Av. Paseo de La reforma # 255, Co. Cuauhtemoc",DIF,MX,6500,-99.16,19.43,176
9361,Centro Coyoacan,"Av. Coyoacan #2000, Local 201-A, Colonia",DIF,MX,,-99.17,19.36,177
9362,Ampliacion Santa Fe III,"Av. Vasco de Quiroga 3800 loc. 255, Col Antigua Mina di Totolapa",DIF,MX,1210,-99.28,19.36,178
9363,Cuidad Jardin,Avenue Bordo de Xochiaca,DIF,MX,57310,-99.02,19.42,179
9364,San Jose Insurgentes,Damas # 130 Col. San Jose Insurgentes,DIF,MX,3900,-99.18,19.36,180
9365,MEX - Mexico City Airport T2 PA NAC,"Capitan Carlos Leon s/n Colonia Penon, de los Banos",DIF,MX,15620,-99.08,19.42,181
9366,Medica Sur Lomas,Acueducto Rio Hondo # 20 Col. Virreyes,DIF,MX,11000,-99.21,19.42,182
9367,Parque Duraznos,"Bosque de Duraznos, No. 39, Col Bosques de las Lomas, Miguel Hidalgo",DIF,MX,11700,-99.24,19.4,183
9368,Universidad 767,"Av. Universidad No. 757 Col. Del Valle, Delegacion Benito Juarez",DIF,MX,3100,-99.16,19.38,184
9369,Fiesta Americana Reforma,"80 Avenue Pase de la Reforma, P.B. Col. Juarez",DIF,MX,6600,-99.15,19.43,185
9370,Bellavista,"Av. De las Fuentes #1-A,",DIF,MX,54054,-99.25,19.52,186
9371,Galerias Coapa (Dead),"Calzada Del Hueso No. 519, Col Residensial Acoxpa. Local 189",DIF,MX,14390,-99.12,19.3,187
9372,Tlacoquermecatl,191 Tlacoquermecatl Col. Del Valle,DIF,MX,3100,-99.17,19.38,188
9373,Durango,"Durango # 205, Local 01 Col. Roma C.P",DIF,MX,6700,-99.16,19.42,189
9374,Reforma Varsovia,"Av. Paseo de la Reforma # 374, Local 2",DIF,MX,6600,-99.17,19.43,190
9375,Insurgentes Juan Pablo,"Insurgentes Sur #1743, Pb Col. Napoles, Del. Benito Juarez",DIF,MX,1020,-99.18,19.36,191
9376,Plaza Delta II,"Av. Cuauhtemoc 462, Parque Delta",DIF,MX,3020,-99.16,19.4,192
9377,Santa Teresa,"Camino a Santa Teresa #13, Col: Heroes de Padierna,",DIF,MX,,-99.22,19.31,193
9378,Gran Sur,"Av. del Iman # 151, Local  98",DIF,MX,4739,-99.16,19.31,194
9379,Vista Hermosa,"Av. Camino al Olivo No. 22, Col. Lomas de Vistahermosa",DIF,MX,5100,-99.28,19.37,195
9380,Pennsylvania,"Pennsylvania #143 Col. Napoles, Delegacion Benito Juarez",DIF,MX,3810,-99.18,19.39,196
9381,Reforma Angel Sheraton,"Av. Paseo de la Reforma no. 325, local 2, 3, 4 y 5 Col. Cuauhtemoc c.p.",DIF,MX,6500,-99.17,19.43,197
9382,Hospital Angeles Pedregal I,"Camino a Santa Teresa 1055, Col Heroes de Padierna",DIF,MX,10700,-99.22,19.31,198
9383,Plaza Universidad,Av Universidad 1000  Sta Cruz B juarez,DIF,MX,3310,-99.15,19.37,199
9384,Torres Lindavista,"Av Othon de Mendizabal No 343, Loc Z-100-B",DIF,MX,7700,-99.15,19.51,200
9385,Tamaulipas,"Av. Tamaulipas No. 55, loc. 101, Col. Condesa",DIF,MX,6140,-99.17,19.41,201
9386,Magnocentro,"Blvrd. Magnocentro, Lote 2, Mz 1",DIF,MX,,-99.27,19.41,202
9387,Via Acoxpa,"Calzada Acoxpa No. 438 Col. Prado Coapa, Deleg. Coyoacan",DIF,MX,14300,-99.14,19.3,203
9388,Samara II,"Ave Santa Fe No. 94, Col Zedec Santa Fe",DIF,MX,11560,-99.26,19.37,204
9389,Tuxpan 53,"Tuxpan #53 esquina Tehuantepec, Col. Roma",DIF,MX,6760,-99.16,19.41,205
9390,Santa Fe 2,"Guillermo Gonzalez Camarena 1500, Loc 1, Centro de Cd. Santa Fe",DIF,MX,1210,-99.26,19.37,206
9391,Pestalozzi,"Pestalozzi No. 1166 Local 1, Del Valle Centro District",DIF,MX,3100,-99.16,19.38,207
9392,Torre Mayor,"Av. Paseo de la Reforma, no. 505 local PB-11",DIF,MX,6500,-99.18,19.42,208
9393,San Mateo Shopping Center,201 Avenue Adolfo Lopez Mateos,DIF,MX,53140,-99.25,19.48,209
9394,Lomas Plaza,"Blvd. Manuel Avila Camacho #50 y 66, Locales B02 y B03",DIF,MX,6110,-99.21,19.43,210
9395,MEX - Aeropuerto Internacional II,"Av. Capitan Carlos Leon s/n, Sala E, Col",DIF,MX,15620,-99.08,19.42,211
9396,Torre Caballito,"Paseo de la Reforma 10, Col. Tabacalera, Del. Cuauhtemoc",DIF,MX,6030,-99.15,19.44,212
9397,16 de Septiembre,"16 de septiembre # 79 , Local 102",DIF,MX,,-99.1,19.33,213
9398,Marina Nacional,"Bahia San Hipolito 43 Locales 1 y 2, Colonia Anahuac",DIF,MX,11320,-99.18,19.44,214
9399,Tezoquipa,"Calzada de Tlalpan 4998 Col. La Joya, Del. Tlalpan",DIF,MX,14090,-99.16,19.28,215
9400,Plateros,A Lopez Mateos 1701 Plateros A Obregón,DIF,MX,1480,-99.19,19.37,216
9401,Grand San Jeronimo,"Calle Iglesia 270 Esq. Av Rio Magdalena, Col. Tizapan de San Angel Del A. Obregon",DIF,MX,1090,-99.2,19.34,217
9402,Tlalpan Nativitas,"Calz de Tlalpan 1037 Col Americas Unidas, Del. Benito Juarez",DIF,MX,,-99.14,19.38,218
